"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.225993750E-1,-2.493132651E-2,-6.138857603E-1,-9.926355481E-1
2.221663750E-1,-7.616347075E-2,-4.908504188E-1,-7.588878870E-1
3.217333748E-1,2.541726641E-2,-4.315943420E-1,-8.145529032E-1
4.213003749E-1,3.209206760E-1,1.747829020E-1,-6.801570654E-1
5.208673750E-1,-6.714795530E-2,-2.091240436E-1,-9.345935583E-1
6.204343750E-1,-2.859852016E-1,-1.733629256E-1,-4.715381861E-1
7.200013751E-1,-4.542152882E-1,-1.817796081E-1,-1.179854035E0
8.195683749E-1,1.618037522E-1,-2.493323535E-1,-7.863587737E-1
9.191343749E-1,-3.311852813E-1,-4.254837334E-2,-4.536764324E-1
1.018701375E0,-5.236289278E-2,4.712650552E-2,-3.911499977E-1
1.118268708E0,-3.661029413E-2,4.626272917E-1,4.074992537E-1
1.217835708E0,-7.463933527E-2,-8.938663453E-2,7.355640829E-2
1.317402708E0,5.611701012E-1,1.167513281E-1,3.150902987E-1
1.416969708E0,8.172269166E-2,-2.886407375E-1,-5.072208047E-1
1.516536708E0,-6.151803732E-1,-2.190661430E-1,-2.371985763E-1
1.616102708E0,1.123089343E-1,-1.581052691E-1,-1.179721802E-1
1.715669708E0,-2.710027099E-1,-5.261621997E-2,-2.790054381E-1
1.815236708E0,1.993472688E-2,-2.149679661E-1,-3.345010281E-1
1.914803708E0,1.614439189E-1,-5.659149960E-2,-3.674725890E-1
2.014370708E0,1.213409752E-2,-7.081601024E-2,-2.003509551E-1
2.113936708E0,8.324371576E-1,1.277966350E-1,-8.804899454E-2
2.213503333E0,6.433215141E-1,6.891949568E-3,-7.697388530E-1
2.313070333E0,-1.049428940E0,1.355328262E-1,6.245777756E-2
2.412637333E0,-4.899318144E-2,-1.767705381E-1,-2.765045464E-1
2.512203333E0,-1.499142349E-1,7.063341886E-2,2.403390855E-1
2.611770333E0,-9.873647243E-2,-6.365281530E-3,-3.086465783E-2
2.711337333E0,-9.394415468E-2,5.097029358E-2,2.245780975E-1
2.810903333E0,1.647954732E-1,-1.144329458E-1,5.369700026E-3
2.910470333E0,7.646937370E-1,-1.143086515E-2,2.717866600E-1
3.010037333E0,1.938016713E-1,-3.394226134E-1,-4.517511129E-1
3.109603333E0,-4.487524629E-1,2.825765014E-1,1.035474241E-1
3.209170333E0,-3.195335865E-1,-2.518336773E-1,-2.457507253E-1
3.308736333E0,-1.684222519E-1,1.306745559E-1,-2.137404829E-1
3.408303083E0,2.153944038E-2,-8.273039758E-2,-1.833900362E-1
3.507870083E0,-2.000269666E-2,-1.442848891E-1,-2.013185620E-1
3.607436083E0,-8.023905754E-2,-5.166987330E-2,6.417488214E-3
3.707003083E0,1.151473403E0,5.363801867E-2,1.341322213E-1
3.806569083E0,-6.273384690E-1,-3.011715412E-1,-1.154120684E0
3.906136083E0,-4.514577687E-1,5.138394982E-2,3.739391863E-1
4.005703083E0,-9.075047076E-2,-2.171446383E-2,2.065661401E-1
4.105269083E0,-1.733150631E-1,2.927755117E-1,6.539189219E-1
4.204836083E0,-2.422540635E-1,4.171985760E-2,2.653438747E-1
4.304402083E0,-8.918443322E-2,3.169679642E-1,5.053554773E-1
4.403969083E0,-2.604134148E-3,-1.463044286E-1,3.138046339E-2
4.503534958E0,6.546371579E-1,3.339835703E-1,6.525141001E-1
4.603101958E0,-7.194779813E-2,-2.764812112E-1,-2.800261378E-1
4.702667958E0,-2.459080219E-1,4.681634009E-1,3.469060659E-1
4.802234958E0,-3.107351959E-1,-1.058361679E-1,5.730209500E-2
4.901800958E0,-1.309370250E-1,9.733993560E-2,-5.913594365E-2
5.001367958E0,-3.299942911E-1,1.718396842E-1,1.616754383E-1
5.100933958E0,-1.876181737E-2,-5.498922244E-2,-1.937774271E-1
5.200500958E0,4.832306411E-3,-4.074196517E-2,1.171393245E-1
5.300066958E0,7.992367744E-1,2.965220809E-1,-8.512567729E-3
5.399633958E0,-3.739365041E-1,-9.741017222E-2,-4.509636462E-1
5.499199958E0,-4.909040332E-1,-1.525475532E-1,3.879886866E-1
5.598766875E0,-3.706633747E-1,3.810308501E-2,2.631545961E-1
5.698332875E0,-2.591409385E-1,1.615235209E-1,6.110544205E-1
5.797899875E0,-2.680808306E-1,-3.297875822E-1,3.722600341E-1
5.897465875E0,2.298278362E-1,2.140898257E-1,8.471713662E-1
5.997032875E0,2.628394663E-1,1.348620504E-1,3.581753671E-1
6.096598875E0,8.710889816E-1,5.088878870E-1,8.382402658E-1
6.196164875E0,-7.739601731E-1,-6.718468666E-1,-3.190892041E-1
6.295731875E0,-7.103936374E-2,2.652027905E-1,6.245764494E-1
6.395297875E0,-3.910582662E-1,-1.412533671E-1,-1.444758624E-1
6.494864875E0,3.832115829E-1,-5.768795684E-2,-1.218037009E-1
6.594430875E0,3.833730221E-1,-5.851919204E-2,-2.445364743E-1
6.693996875E0,2.234123498E-1,-3.938885927E-1,-1.659818292E-1
6.793564458E0,1.089072898E-1,-1.249076486E0,-2.788145542E-1
6.893130458E0,7.718650103E-1,1.261039495E0,-5.273825526E-1
6.992697458E0,-1.543204784E0,-6.772105694E-1,-7.043480277E-1
7.092263458E0,-5.155884027E-1,2.959532142E-1,-4.620192349E-1
7.191829458E0,-3.599187434E-1,3.195870221E-1,-3.744572103E-1
7.291396458E0,-3.889141977E-1,-1.438452303E-1,3.503431380E-1
7.390962458E0,2.742912173E-1,-6.428415179E-1,5.616104603E-1
7.490528458E0,4.521014094E-1,-1.937406540E0,5.552650094E-1
7.590095458E0,1.189828590E-1,2.742640972E-1,3.558008075E-1
7.689661458E0,3.391699791E-1,-2.067100406E-1,-7.677725554E-1
7.789228458E0,-4.762345850E-1,-1.336037219E-1,-5.879135728E-1
7.888794000E0,-1.933925897E-1,2.121431679E-1,-3.846881688E-1
7.988360000E0,-2.488916069E-1,5.264380202E-2,-3.626379371E-1
8.087927000E0,1.020872742E-1,-6.461472949E-4,-3.167177141E-1
8.187493000E0,1.295049340E-1,3.438605070E-1,-5.858987570E-1
8.287059000E0,1.222360879E-2,-2.811791897E-1,-3.509405255E-1
8.386625000E0,6.293176413E-1,4.213600755E-1,-3.833442330E-1
8.486192000E0,-5.910121202E-1,-1.983586401E-1,-2.300625890E-1
8.585758000E0,6.293797493E-2,-2.249095738E-1,-8.949126303E-2
8.685324000E0,-6.771588326E-2,-1.942782477E-2,-3.504189551E-1
