"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.225993750E-1,-7.578321853E-1,1.628624976E-2,-3.102708042E-2
2.221663750E-1,-5.300188163E-1,2.779090968E-1,9.889512777E-2
3.217333748E-1,2.310351849E-1,-1.377642015E-1,6.086875480E-1
4.213003749E-1,9.784350604E-2,-4.962596244E-1,-3.459785807E-1
5.208673750E-1,7.934709647E-1,-1.845628012E0,-2.169100660E-1
6.204343750E-1,1.592438897E0,-1.737465048E0,2.838823199E-3
7.200013751E-1,1.223648720E0,1.772023554E0,1.078396720E0
8.195683749E-1,3.970310591E-1,-6.132590474E-1,-8.679174221E-1
9.191343749E-1,4.459797093E-1,9.355319926E-1,-6.922699875E-1
1.018701375E0,-4.176555043E-1,1.660246426E0,-2.553888381E-2
1.118268708E0,6.761016322E-1,2.120843589E-1,6.718643743E-1
1.217835708E0,8.365536151E-1,7.422587112E-1,2.004188129E0
1.317402708E0,1.074658449E0,-7.268416500E-1,-6.916835117E-1
1.416969708E0,4.150945701E-2,-1.503378640E0,-1.575695980E0
1.516536708E0,-1.017616814E0,-1.131130273E0,1.464129936E0
1.616102708E0,2.044324002E-1,5.025044507E-1,-1.535329142E0
1.715669708E0,-1.615280899E-1,4.355063228E-1,3.983199316E-1
1.815236708E0,-1.900855257E-1,1.274311043E0,-4.856843501E-1
1.914803708E0,-7.450175737E-1,7.357982688E-1,-2.333565295E-2
2.014370708E0,-4.925206223E-1,8.958346608E-1,2.403106230E0
2.113936708E0,3.543106437E-1,-2.558061831E-1,-4.645624530E-1
2.213503333E0,9.300449654E-1,-3.428602314E0,-1.887969455E0
2.313070333E0,3.785235983E-1,4.591277584E-1,1.081397511E0
2.412637333E0,1.442190890E-1,9.866743720E-1,-5.157478094E-1
2.512203333E0,7.315162797E-1,-5.063250214E-1,-5.290391153E-1
2.611770333E0,7.099550374E-1,1.571773083E0,-5.480700481E-1
2.711337333E0,3.125056100E-1,-3.162387648E-1,8.051715356E-1
2.810903333E0,8.905875157E-1,2.125563608E0,2.271366123E0
2.910470333E0,5.210094264E-1,-1.364836028E0,-2.727199852E-2
3.010037333E0,-1.109482127E-1,-2.074683915E0,-2.266549187E0
3.109603333E0,-1.282550501E0,-1.568805913E0,1.574362230E0
3.209170333E0,2.355151753E-1,6.890310685E-1,-1.379382146E0
3.308736333E0,-5.142536996E-1,4.328888167E-1,5.386881906E-1
3.408303083E0,-1.290723885E-1,1.220754494E0,-5.176791447E-1
3.507870083E0,-9.996170376E-1,1.698791564E-2,2.040333277E-1
3.607436083E0,-5.779607221E-2,1.786784704E0,2.995783517E0
3.707003083E0,3.794167605E-1,-1.334695677E0,-9.082006449E-1
3.806569083E0,5.892566657E-1,-4.000396562E0,-8.277669311E-1
3.906136083E0,2.420864224E-2,1.196799914E0,5.839672744E-2
4.005703083E0,-5.563926094E-1,3.355310681E-1,5.766617632E-1
4.105269083E0,6.236609517E-1,2.840387329E-2,-1.405416874E0
4.204836083E0,3.717560309E-1,3.722241005E-1,1.901321572E-1
4.304402083E0,9.038845957E-1,6.964036766E-1,-2.098010212E-1
4.403969083E0,9.374694675E-2,7.745468898E-1,2.763570119E0
4.503534958E0,4.089098239E-1,-1.153170768E0,-4.665230244E-1
4.603101958E0,-6.163191877E-2,-1.980892529E0,-1.890369152E0
4.702667958E0,-1.402451458E0,-1.765922862E0,1.684143119E0
4.802234958E0,2.346790966E-1,3.551418985E-1,-1.549256040E0
4.901800958E0,-3.877076738E-1,2.238688374E-1,-6.762012541E-2
5.001367958E0,-4.697532456E-1,6.512605405E-1,-2.155283689E-2
5.100933958E0,-7.811717121E-1,6.967406224E-1,5.714700204E-1
5.200500958E0,-1.523000872E-1,1.158389846E0,2.122145180E0
5.300066958E0,-2.665953192E-1,-1.568607108E0,-1.205348543E0
5.399633958E0,4.949226585E-1,-3.734507002E0,-7.991722924E-1
5.499199958E0,2.403590088E-1,1.125113196E0,-3.727781242E-1
5.598766875E0,1.502430367E-1,1.090920871E-1,3.213711584E-1
5.698332875E0,3.866472812E-1,8.113592785E-1,-7.799454778E-1
5.797899875E0,2.063599348E-2,3.214640560E-1,8.563212240E-1
5.897465875E0,6.200834790E-1,8.400282499E-1,8.199544662E-1
5.997032875E0,-4.441033378E-2,-5.617759216E-1,2.801021535E0
6.096598875E0,4.636314301E-1,-2.099658835E0,-2.864150414E0
6.196164875E0,-8.560725711E-1,-2.649202673E0,1.023701280E-1
6.295731875E0,8.155316323E-2,-4.861723003E-1,-1.010943825E0
6.395297875E0,9.099934012E-2,7.474333508E-1,1.556055182E-1
6.494864875E0,1.541858143E-1,3.970022616E-1,4.181577802E-2
6.594430875E0,-3.233600888E-1,1.127613465E0,-5.044159055E-2
6.693996875E0,-8.511486308E-1,1.076770171E0,1.619557698E0
6.793564458E0,-5.030513115E-2,8.369941297E-1,1.758313295E0
6.893130458E0,5.893399154E-1,-2.752333817E0,-3.078165523E0
6.992697458E0,-2.526626468E-1,-1.715974484E0,-6.035086691E-2
7.092263458E0,4.854036838E-2,1.238326401E0,-7.648122990E-1
7.191829458E0,9.863112599E-2,-4.103404914E-1,4.064604253E-1
7.291396458E0,4.465169223E-1,1.137660078E0,-6.784968710E-1
7.390962458E0,5.411384663E-1,-3.700846043E-1,1.477312483E0
7.490528458E0,1.328590746E0,9.473916078E-1,1.645888295E0
7.590095458E0,1.138446821E0,-1.310524457E0,-2.422671014E-1
7.689661458E0,-1.946931316E-1,-1.256452038E0,-2.952283157E0
