"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.225993750E-1,1.707895355E2,-7.656654358E1,-3.235571289E1
2.221663750E-1,1.721564636E2,-7.653581238E1,-3.309133911E1
3.217333748E-1,1.728135071E2,-7.588604736E1,-3.296801758E1
4.213003749E-1,1.740879974E2,-7.548477173E1,-3.311965942E1
5.208673750E-1,1.759967346E2,-7.537467957E1,-3.284735107E1
6.204343750E-1,1.769311066E2,-7.447012329E1,-3.284124756E1
7.200013751E-1,1.784578400E2,-7.139785767E1,-3.542898560E1
8.195683749E-1,1.801994629E2,-7.036970520E1,-3.498977661E1
9.191343749E-1,1.815539093E2,-6.920455933E1,-3.572912598E1
1.018701375E0,1.824953766E2,-6.794384766E1,-3.559814453E1
1.118268708E0,1.836911469E2,-6.757994080E1,-3.564324951E1
1.217835708E0,1.832096100E2,-6.745130920E1,-3.525021362E1
1.317402708E0,1.825461731E2,-6.869464111E1,-3.534881592E1
1.416969708E0,1.828536530E2,-7.043789673E1,-3.370654297E1
1.516536708E0,1.831133575E2,-6.856881714E1,-3.524380493E1
1.616102708E0,1.834375000E2,-6.826638794E1,-3.546072388E1
1.715669708E0,1.835195770E2,-6.679734802E1,-3.620672607E1
1.815236708E0,1.840426178E2,-6.649203491E1,-3.738540649E1
1.914803708E0,1.839701691E2,-6.646615601E1,-3.723080444E1
2.014370708E0,1.842074280E2,-6.661286926E1,-3.677124023E1
2.113936708E0,1.846170197E2,-6.733399963E1,-3.635192871E1
2.213503333E0,1.853064880E2,-7.016618347E1,-3.366583252E1
2.313070333E0,1.872202301E2,-6.693460083E1,-3.542330933E1
2.412637333E0,1.873747864E2,-6.629338074E1,-3.680383301E1
2.512203333E0,1.877388916E2,-6.599276733E1,-3.628451538E1
2.611770333E0,1.875515594E2,-6.547384644E1,-3.652471924E1
2.711337333E0,1.875956573E2,-6.522004700E1,-3.690609741E1
2.810903333E0,1.871982727E2,-6.534353638E1,-3.694207764E1
2.910470333E0,1.868433685E2,-6.715943909E1,-3.640170288E1
3.010037333E0,1.863757172E2,-6.987861633E1,-3.455661011E1
3.109603333E0,1.868068848E2,-6.726651001E1,-3.686126709E1
3.209170333E0,1.870708923E2,-6.750785828E1,-3.678839111E1
3.308736333E0,1.878237305E2,-6.557429504E1,-3.651446533E1
3.408303083E0,1.881852875E2,-6.481272888E1,-3.722937012E1
3.507870083E0,1.883029633E2,-6.441481018E1,-3.781750488E1
3.607436083E0,1.883685608E2,-6.416737366E1,-3.830938721E1
3.707003083E0,1.881320496E2,-6.582937622E1,-3.714654541E1
3.806569083E0,1.892324066E2,-6.828311157E1,-3.611892700E1
3.906136083E0,1.901108551E2,-6.393750000E1,-3.793911743E1
4.005703083E0,1.894269714E2,-6.351490784E1,-3.859323120E1
4.105269083E0,1.891654205E2,-6.481805420E1,-3.831170654E1
4.204836083E0,1.888929291E2,-6.479705811E1,-3.829156494E1
4.304402083E0,1.885567780E2,-6.549317932E1,-3.850909424E1
4.403969083E0,1.881315155E2,-6.519212341E1,-3.864550781E1
4.503534958E0,1.878029175E2,-6.689810181E1,-3.866659546E1
4.603101958E0,1.880141754E2,-7.027993774E1,-3.672213745E1
4.702667958E0,1.877363129E2,-6.740370178E1,-3.851416016E1
4.802234958E0,1.879855804E2,-6.797648621E1,-3.812777710E1
4.901800958E0,1.880807343E2,-6.624578857E1,-3.886288452E1
5.001367958E0,1.879566803E2,-6.566664124E1,-3.938772583E1
5.100933958E0,1.885567322E2,-6.498680115E1,-3.947348022E1
5.200500958E0,1.880979919E2,-6.384791565E1,-4.043612671E1
5.300066958E0,1.891221161E2,-6.541616821E1,-3.942974854E1
5.399633958E0,1.904277496E2,-6.671012878E1,-3.818460083E1
5.499199958E0,1.904600372E2,-6.446665955E1,-3.995223999E1
5.598766875E0,1.895802155E2,-6.326992798E1,-4.110671997E1
5.698332875E0,1.897741394E2,-6.325334167E1,-4.136599731E1
5.797899875E0,1.890914154E2,-6.277470398E1,-4.207260132E1
5.897465875E0,1.885262299E2,-6.416352844E1,-4.254290771E1
5.997032875E0,1.882751160E2,-6.539730835E1,-4.138125610E1
6.096598875E0,1.889480896E2,-6.889028931E1,-3.965942383E1
6.196164875E0,1.887756958E2,-7.017845154E1,-3.873583984E1
6.295731875E0,1.886712799E2,-6.821629333E1,-4.053533936E1
6.395297875E0,1.878764191E2,-6.832374573E1,-4.081683350E1
6.494864875E0,1.883674164E2,-6.655564880E1,-4.134252930E1
6.594430875E0,1.889319000E2,-6.776826477E1,-4.066400146E1
6.693996875E0,1.907495575E2,-6.791464233E1,-3.957742310E1
6.793564458E0,1.884863434E2,-6.862258911E1,-4.111880493E1
6.893130458E0,1.892833710E2,-6.907923889E1,-4.061849976E1
6.992697458E0,1.930408173E2,-6.679460144E1,-4.050646973E1
7.092263458E0,1.939285583E2,-6.297657776E1,-4.168850708E1
7.191829458E0,1.962249908E2,-5.961079407E1,-4.212927246E1
7.291396458E0,1.986725006E2,-5.771276855E1,-4.118463135E1
7.390962458E0,1.976916656E2,-5.882850647E1,-4.202145386E1
7.490528458E0,1.926062012E2,-6.339228821E1,-4.466836548E1
7.590095458E0,1.873856049E2,-6.520570374E1,-4.799023438E1
7.689661458E0,1.872447662E2,-6.736383057E1,-4.713812256E1
7.789228458E0,1.878612976E2,-6.368876648E1,-4.866748047E1
7.888794000E0,1.904249268E2,-6.293064880E1,-4.806881714E1
7.988360000E0,1.917033844E2,-6.102975464E1,-4.906338501E1
8.087927000E0,1.920001831E2,-6.066433716E1,-4.840124512E1
8.187493000E0,1.920556641E2,-6.015145874E1,-4.816940308E1
8.287059000E0,1.916356201E2,-5.913749695E1,-4.829681396E1
8.386625000E0,1.903863678E2,-5.964704895E1,-4.848086548E1
8.486192000E0,1.893386993E2,-6.049679565E1,-4.778637695E1
8.585758000E0,1.877608795E2,-5.859858704E1,-4.908990479E1
8.685324000E0,1.879504700E2,-5.825479126E1,-4.875109863E1
8.784891000E0,1.873958740E2,-5.707775879E1,-4.914721680E1
8.884457000E0,1.869126282E2,-5.743046570E1,-4.871081543E1
8.984023000E0,1.854384003E2,-5.918394470E1,-4.840542603E1
9.083588958E0,1.839507599E2,-5.869664001E1,-4.845529175E1
9.183155958E0,1.829999847E2,-6.137632751E1,-4.819531250E1
9.282721958E0,1.835263214E2,-6.251681519E1,-4.765429688E1
9.382287958E0,1.831633606E2,-6.154933167E1,-4.828427124E1
9.481853958E0,1.826628418E2,-6.084161377E1,-4.801324463E1
9.581420958E0,1.823738098E2,-5.993344116E1,-4.729583740E1
9.680986958E0,1.817449951E2,-5.984591675E1,-4.667810059E1
9.780552958E0,1.808275299E2,-5.990551758E1,-4.634512329E1
9.880118958E0,1.800092163E2,-5.986747742E1,-4.509338379E1
9.979684958E0,1.813016968E2,-6.328611755E1,-4.341458130E1
1.007925196E1,1.815560455E2,-5.989253235E1,-4.306607056E1
1.017881796E1,1.806811371E2,-5.909388733E1,-4.427896118E1
1.027838396E1,1.806934357E2,-5.850315857E1,-4.358840942E1
1.037794996E1,1.801171417E2,-5.828265381E1,-4.400628662E1
1.047751596E1,1.797288818E2,-5.836708069E1,-4.391204834E1
1.057708296E1,1.784147797E2,-5.842037964E1,-4.411355591E1
1.067664896E1,1.786448975E2,-6.058122253E1,-4.307687378E1
1.077621496E1,1.787274780E2,-6.135423279E1,-4.259960938E1
1.087578096E1,1.784967804E2,-5.957827759E1,-4.367932129E1
1.097534696E1,1.782222443E2,-5.918554688E1,-4.352606201E1
1.107491296E1,1.780519714E2,-5.816867065E1,-4.430630493E1
1.117447896E1,1.776970215E2,-5.812557983E1,-4.435116577E1
1.127404663E1,1.778474731E2,-5.772277832E1,-4.463998413E1
1.137361263E1,1.772633057E2,-5.833340454E1,-4.437652588E1
1.147317862E1,1.790670319E2,-6.085292053E1,-4.317041016E1
1.157274462E1,1.796022644E2,-5.917039490E1,-4.372030640E1
1.167231062E1,1.789534454E2,-5.832106018E1,-4.492578125E1
1.177187663E1,1.792733154E2,-5.892355347E1,-4.500918579E1
1.187144263E1,1.790951385E2,-5.920388794E1,-4.489859009E1
1.197100862E1,1.789870911E2,-5.890010071E1,-4.523928833E1
1.207057562E1,1.785931549E2,-5.933012390E1,-4.465261841E1
1.217014162E1,1.784116516E2,-6.030317688E1,-4.491839600E1
1.226970763E1,1.790728760E2,-6.285264587E1,-4.330621338E1
1.236927362E1,1.784488068E2,-5.978369141E1,-4.569076538E1
1.246883871E1,1.791052094E2,-5.903475952E1,-4.598400879E1
1.256840471E1,1.784995117E2,-5.721195984E1,-4.569750977E1
1.266797071E1,1.779635315E2,-5.634709167E1,-4.644165039E1
1.276753671E1,1.776739502E2,-5.575088501E1,-4.697702026E1
1.286710271E1,1.768774261E2,-5.553927612E1,-4.683972168E1
