"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.063749660E-4,9.116043091E-2,1.251397705E-1,9.828112335E0
1.014737500E-2,6.945556641E-2,2.335144043E-1,9.768236847E0
2.018837497E-2,4.311035156E-2,1.299298096E-1,9.798324280E0
3.022937500E-2,5.164260864E-2,8.756790161E-2,9.792187042E0
4.027037497E-2,5.897735596E-2,1.927990723E-1,9.799521790E0
5.031137500E-2,4.340972900E-2,1.534309387E-1,9.792037354E0
6.035337498E-2,4.415817261E-2,9.879455566E-2,9.831106110E0
7.039437495E-2,8.547225952E-2,1.695973206E-1,9.815538483E0
8.043537498E-2,4.236190796E-2,1.971400452E-1,9.787247314E0
9.047637496E-2,3.188369751E-2,9.175918579E-2,9.807904358E0
1.005173750E-1,4.655319214E-2,1.404080200E-1,9.781708832E0
1.105583750E-1,7.454498291E-2,1.896556091E-1,9.811945953E0
1.205993750E-1,5.164260864E-2,1.184037781E-1,9.813742218E0
1.306403750E-1,4.266128540E-2,1.260379028E-1,9.812694397E0
1.406813750E-1,4.790039063E-2,1.796264648E-1,9.816436615E0
1.507223750E-1,4.385879517E-2,1.375639343E-1,9.810299377E0
1.607633750E-1,5.568420410E-2,1.197509766E-1,9.804012451E0
1.708043750E-1,5.807922363E-2,1.746867371E-1,9.802814941E0
1.808453750E-1,5.373825073E-2,1.411564636E-1,9.797875214E0
1.908863750E-1,4.610412598E-2,1.071771240E-1,9.807006226E0
2.009273750E-1,6.182144165E-2,1.558259583E-1,9.812844086E0
2.109683750E-1,5.448669434E-2,1.612147522E-1,9.805958405E0
2.210093750E-1,5.298980713E-2,1.227447510E-1,9.799821167E0
2.310503750E-1,5.418731689E-2,1.595681763E-1,9.800569611E0
2.410913750E-1,6.152206421E-2,1.612147522E-1,9.795779572E0
2.511321667E-1,4.266128540E-2,1.320254517E-1,9.811347198E0
2.611731666E-1,5.538482666E-2,1.323248291E-1,9.809550934E0
2.712141667E-1,5.179229736E-2,1.546284485E-1,9.795180817E0
2.812551666E-1,5.703140259E-2,1.380130005E-1,9.815987549E0
2.912961667E-1,4.999603271E-2,1.356179810E-1,9.807754669E0
3.013371666E-1,4.894821167E-2,1.531315613E-1,9.806108093E0
3.113781667E-1,5.553451538E-2,1.502874756E-1,9.826016693E0
3.214191666E-1,5.373825073E-2,1.501377869E-1,9.805659027E0
3.314601667E-1,5.718109131E-2,1.498384094E-1,9.801168365E0
3.415011666E-1,2.814147949E-2,1.191522217E-1,9.813293152E0
3.515431667E-1,4.670288086E-2,1.736389160E-1,9.783056030E0
3.615841666E-1,8.143066406E-2,1.865121460E-1,9.808054047E0
3.716251666E-1,1.766326904E-2,1.125659180E-1,9.779762878E0
3.816661666E-1,7.035369873E-2,1.392105103E-1,9.794432373E0
3.917071666E-1,5.463638306E-2,1.941462708E-1,9.792935486E0
4.017481667E-1,5.882766724E-2,1.127156067E-1,9.800569611E0
4.117891666E-1,2.694396973E-2,1.113684082E-1,9.806407471E0
4.218301667E-1,7.723937988E-2,1.938468933E-1,9.792935486E0
4.318711666E-1,5.373825073E-2,1.475930786E-1,9.805060272E0
4.419121667E-1,3.772155762E-2,1.119671631E-1,9.801318054E0
4.519531666E-1,6.601272583E-2,1.660047913E-1,9.805209961E0
4.619941667E-1,4.281097412E-2,1.643582153E-1,9.804461517E0
4.720351666E-1,4.116439819E-2,1.128652954E-1,9.802814941E0
4.820761667E-1,4.475692749E-2,1.666035461E-1,9.810299377E0
4.921171666E-1,7.694000244E-2,1.634600830E-1,9.802066498E0
5.021581667E-1,3.772155762E-2,1.279838562E-1,9.819280701E0
5.121991666E-1,6.346801758E-2,1.293310547E-1,9.802665253E0
5.222401667E-1,5.673202515E-2,1.896556091E-1,9.800719299E0
5.322811666E-1,5.927673340E-2,1.336720276E-1,9.804910583E0
5.423221667E-1,4.355941772E-2,1.282832336E-1,9.811197510E0
5.523631666E-1,7.259902954E-2,1.706451416E-1,9.802216187E0
5.624041667E-1,5.538482666E-2,1.514849854E-1,9.818083191E0
5.724451666E-1,5.014572144E-2,1.255888367E-1,9.795629883E0
5.824861666E-1,6.077362061E-2,1.507365417E-1,9.802066498E0
5.925271666E-1,5.433700562E-2,1.603166199E-1,9.803114319E0
6.025681666E-1,5.538482666E-2,1.269360352E-1,9.811496887E0
6.126091667E-1,3.742218018E-2,1.540296936E-1,9.798024902E0
6.226511666E-1,6.750961304E-2,1.628613281E-1,9.805060272E0
6.326921667E-1,5.149291992E-2,1.401086426E-1,9.810149689E0
6.427331666E-1,6.182144165E-2,1.447489929E-1,9.808203735E0
6.527741667E-1,6.077362061E-2,1.529818726E-1,9.789492645E0
6.628151666E-1,6.541397095E-2,1.383123779E-1,9.792935486E0
6.728561667E-1,5.763015747E-2,1.348695374E-1,9.809251556E0
6.828971666E-1,4.939727783E-2,1.654060364E-1,9.813293152E0
6.929381667E-1,5.448669434E-2,1.459465027E-1,9.813143463E0
7.029791666E-1,3.757186890E-2,1.407073975E-1,9.813143463E0
7.130201667E-1,5.269042969E-2,1.429527283E-1,9.797725525E0
7.230611666E-1,5.673202515E-2,1.426533508E-1,9.812245331E0
7.331021666E-1,5.912704468E-2,1.432521057E-1,9.790390778E0
7.431431666E-1,5.987548828E-2,1.546284485E-1,9.796228638E0
7.531841666E-1,5.538482666E-2,1.502874756E-1,9.799372101E0
7.632251667E-1,4.879852295E-2,1.428030396E-1,9.818681946E0
