"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.382374966E-3,-2.264648438E0,4.072595596E1,1.580718994E0
1.642337500E-2,-2.008453369E0,4.102643967E1,1.669387817E0
2.646437497E-2,-2.006759644E0,4.100258255E1,1.643310547E0
3.650537500E-2,-2.175598145E0,4.087010574E1,1.589279175E0
4.654637497E-2,-2.193222046E0,4.081045914E1,1.539596558E0
5.658737500E-2,-2.289489746E0,4.078342056E1,1.503646851E0
6.662837497E-2,-2.420394897E0,4.087598801E1,1.574157715E0
7.666937500E-2,-2.324264526E0,4.072565842E1,1.461563110E0
8.671037498E-2,-2.099304199E0,4.092104721E1,1.481262207E0
9.675137501E-2,-2.188873291E0,4.074905777E1,1.411132812E0
1.067923750E-1,-2.057067871E0,4.087281418E1,1.527908325E0
1.168333750E-1,-2.097351074E0,4.090703964E1,1.357101440E0
1.268743750E-1,-2.224639893E0,4.086890793E1,1.241668701E0
1.369153750E-1,-2.294097900E0,4.088499069E1,1.458602905E0
1.469563750E-1,-2.126983643E0,4.102598953E1,1.431594849E0
1.569973750E-1,-2.150741577E0,4.093917465E1,1.428588867E0
1.670383750E-1,-2.231033325E0,4.090156174E1,1.384429932E0
1.770793750E-1,-2.205001831E0,4.089656448E1,1.403152466E0
1.871203750E-1,-2.270980835E0,4.091896439E1,1.408432007E0
1.971613750E-1,-2.309127808E0,4.089194870E1,1.488952637E0
2.072033750E-1,-2.182632446E0,4.088920212E1,1.459304810E0
2.172443750E-1,-2.105056763E0,4.092530441E1,1.434402466E0
2.272853750E-1,-2.235839844E0,4.093411636E1,1.707946777E0
2.373263750E-1,-2.062133789E0,4.101953506E1,1.655761719E0
2.473673750E-1,-2.113861084E0,4.101016617E1,1.591308594E0
2.574081667E-1,-2.128234863E0,4.094382095E1,1.577072144E0
2.674491666E-1,-2.073913574E0,4.102767563E1,1.635116577E0
2.774901667E-1,-1.990859985E0,4.098085403E1,1.546188354E0
2.875311666E-1,-1.915893555E0,4.108008194E1,1.572326660E0
2.975721667E-1,-1.984420776E0,4.099508286E1,1.604995728E0
3.076131666E-1,-1.884155273E0,4.090143967E1,1.758697510E0
3.176541667E-1,-1.976608276E0,4.103568649E1,1.779693604E0
3.276951666E-1,-1.957351685E0,4.101009750E1,1.682922363E0
3.377361667E-1,-2.018051147E0,4.113080215E1,1.650070190E0
3.477771666E-1,-1.973999023E0,4.110375595E1,1.492599487E0
3.578181667E-1,-2.086959839E0,4.101598740E1,1.458709717E0
3.678591666E-1,-2.132080078E0,4.093880844E1,1.765151978E0
3.779001667E-1,-2.206848145E0,4.086368179E1,1.737579346E0
3.879411666E-1,-2.205490112E0,4.076874161E1,1.584838867E0
3.979821667E-1,-2.214981079E0,4.082448959E1,1.573211670E0
4.080231666E-1,-2.055725098E0,4.093151474E1,1.525680542E0
4.180641667E-1,-2.151824951E0,4.096512985E1,1.607620239E0
4.281051666E-1,-2.070709229E0,4.103039169E1,1.827911377E0
4.381461666E-1,-2.208435059E0,4.085086441E1,1.662460327E0
4.481871667E-1,-2.196350098E0,4.079485703E1,1.612609863E0
4.582281666E-1,-2.227813721E0,4.080733109E1,1.660873413E0
4.682691667E-1,-2.179580688E0,4.077809525E1,1.753631592E0
4.783101666E-1,-2.098297119E0,4.090823746E1,1.843444824E0
4.883521667E-1,-2.046722412E0,4.097294998E1,1.633941650E0
4.983931666E-1,-2.174148560E0,4.086837387E1,1.621032715E0
5.084341667E-1,-2.153808594E0,4.085311508E1,1.491912842E0
5.184751666E-1,-2.020370483E0,4.090008926E1,1.524459839E0
5.285161667E-1,-2.131256104E0,4.097137833E1,1.695816040E0
5.385571666E-1,-2.030929565E0,4.100320816E1,1.536102295E0
5.485981667E-1,-2.073562622E0,4.090869522E1,1.746444702E0
5.586391666E-1,-2.122192383E0,4.077715683E1,1.641983032E0
5.686801667E-1,-2.266815186E0,4.080982590E1,1.596267700E0
5.787211666E-1,-2.204010010E0,4.092954636E1,1.822387695E0
5.887621666E-1,-2.065841675E0,4.088123703E1,1.692047119E0
5.988031666E-1,-2.018768311E0,4.088188553E1,1.911178589E0
6.088441666E-1,-2.143173218E0,4.095319748E1,1.769592285E0
6.188851667E-1,-2.033248901E0,4.102278519E1,1.834075928E0
6.289261666E-1,-1.907852173E0,4.105940628E1,1.850326538E0
6.389671667E-1,-2.026000977E0,4.092158127E1,1.817398071E0
6.490081666E-1,-2.020996094E0,4.095288467E1,1.669982910E0
6.590491667E-1,-2.064682007E0,4.098066330E1,1.834655762E0
6.690901666E-1,-2.039489746E0,4.099387741E1,2.006347656E0
6.791311667E-1,-2.145065308E0,4.100979996E1,1.752319336E0
6.891721666E-1,-2.143783569E0,4.098093796E1,1.803863525E0
6.992131667E-1,-2.202606201E0,4.087224197E1,2.016098022E0
7.092541666E-1,-2.171035767E0,4.084959030E1,1.855987549E0
7.192951667E-1,-2.107955933E0,4.094399643E1,1.791458130E0
7.293361666E-1,-2.134353638E0,4.094546127E1,1.819549561E0
7.393771667E-1,-2.153366089E0,4.097281265E1,1.679077148E0
7.494181666E-1,-2.006805420E0,4.106483078E1,1.831878662E0
7.594601666E-1,-2.043594360E0,4.114877701E1,1.560989380E0
7.695011667E-1,-1.978332520E0,4.117593765E1,1.684967041E0
7.795421666E-1,-1.987991333E0,4.120299911E1,1.636489868E0
7.895831667E-1,-2.020126343E0,4.116894913E1,1.670806885E0
7.996241666E-1,-2.012802124E0,4.123908615E1,1.685577393E0
8.096651667E-1,-1.984329224E0,4.123237991E1,1.707458496E0
8.197061666E-1,-1.970520020E0,4.116352463E1,1.616195679E0
8.297471667E-1,-1.943771362E0,4.120199966E1,1.790573120E0
8.397881666E-1,-1.873916626E0,4.121784592E1,1.652709961E0
8.498291667E-1,-1.924240112E0,4.119058609E1,1.663757324E0
8.598701666E-1,-1.917938232E0,4.119220352E1,1.761108398E0
8.699111667E-1,-1.926818848E0,4.113929367E1,1.782638550E0
8.799521666E-1,-1.957870483E0,4.115388107E1,1.646743774E0
8.899931667E-1,-1.893722534E0,4.102775955E1,1.701995850E0
9.000341666E-1,-2.037551880E0,4.100951767E1,1.623901367E0
9.100751667E-1,-2.056091309E0,4.111954880E1,1.718627930E0
9.201161666E-1,-2.028335571E0,4.111213303E1,1.657043457E0
9.301571667E-1,-1.975311279E0,4.114648056E1,1.653030396E0
9.401981666E-1,-2.026718140E0,4.107759476E1,1.647766113E0
9.502391667E-1,-1.924011230E0,4.107660294E1,1.568054199E0
9.602801666E-1,-2.074234009E0,4.100146866E1,1.631851196E0
9.703211666E-1,-1.929565430E0,4.106514359E1,1.845336914E0
9.803621667E-1,-1.950012207E0,4.107322311E1,1.874618530E0
9.904031666E-1,-2.005569458E0,4.124232864E1,1.759902954E0
1.000444167E0,-1.947753906E0,4.129005051E1,1.805603027E0
1.010485167E0,-1.880920410E0,4.102445602E1,1.747375488E0
1.020527167E0,-1.864791870E0,4.110106277E1,1.867919922E0
1.030568167E0,-1.959167480E0,4.106327438E1,1.702789307E0
1.040609167E0,-2.029830933E0,4.105158615E1,1.670013428E0
1.050650167E0,-1.904373169E0,4.111622238E1,1.778503418E0
1.060691167E0,-1.956558228E0,4.118027115E1,1.789093018E0
1.070732167E0,-1.909820557E0,4.121113968E1,1.643325806E0
1.080773167E0,-1.809967041E0,4.116247940E1,1.682601929E0
1.090814167E0,-1.977050781E0,4.113637161E1,1.699432373E0
1.100855167E0,-2.002700806E0,4.104859543E1,1.748214722E0
1.110896167E0,-1.917221069E0,4.107608414E1,1.854553223E0
1.120937167E0,-1.893249512E0,4.112788773E1,1.983062744E0
1.130978167E0,-1.906555176E0,4.110850143E1,1.724060059E0
1.141019167E0,-1.949996948E0,4.099691391E1,1.849258423E0
1.151060167E0,-2.022171021E0,4.101807785E1,1.629684448E0
1.161101167E0,-1.980117798E0,4.111072922E1,1.827804565E0
1.171142167E0,-1.940689087E0,4.105249405E1,1.858825684E0
1.181183167E0,-1.932403564E0,4.113241959E1,2.003219604E0
1.191224167E0,-2.004959106E0,4.103068161E1,1.846481323E0
1.201265167E0,-2.105712891E0,4.105595016E1,1.989562988E0
1.211306167E0,-2.037948608E0,4.097988510E1,1.896896362E0
1.221347167E0,-1.956314087E0,4.110593796E1,1.888931274E0
1.231388167E0,-1.905319214E0,4.111624527E1,1.747375488E0
1.241429167E0,-1.840393066E0,4.104177475E1,1.793853760E0
1.251470167E0,-1.866760254E0,4.115285110E1,1.650238037E0
1.261511500E0,-1.924499512E0,4.110561752E1,2.079940796E0
1.271552500E0,-2.063629150E0,4.101042557E1,2.105575562E0
1.281594500E0,-2.021667480E0,4.110882950E1,1.884902954E0
1.291635500E0,-1.930084229E0,4.113959885E1,2.071502686E0
1.301676500E0,-1.960556030E0,4.113715744E1,2.036758423E0
1.311717500E0,-2.008178711E0,4.106765366E1,2.069198608E0
1.321758500E0,-2.069580078E0,4.120245743E1,1.929840088E0
1.331799500E0,-2.043838501E0,4.110844803E1,2.041778564E0
1.341840500E0,-2.098312378E0,4.113759232E1,2.198410034E0
1.351881500E0,-2.194061279E0,4.109016037E1,1.953170776E0
1.361922500E0,-2.143508911E0,4.104561996E1,2.201385498E0
1.371963500E0,-2.129119873E0,4.112403488E1,2.130447388E0
1.382004500E0,-1.957244873E0,4.112455368E1,2.148605347E0
1.392045500E0,-2.000793457E0,4.100850296E1,2.216934204E0
1.402086500E0,-1.978057861E0,4.110793686E1,2.053512573E0
1.412127500E0,-2.074081421E0,4.083853531E1,1.909805298E0
